FlightNumber,TravelDate,FlightType,Airline,AirlineCode,OriginCode,DestinationCode,EquipmentName,Aircraft type ICAO,MTOW,Seats,Passengers,CargoMass,CheckedBaggageMass,O_Lat,O_Lon,D_Lat,D_Lon,Distance_km
SN9218,4/7/2018,P,Brussels Airlines,SN,BRU,BJM,333 (A330-300),A333,242000,287,,,,50.90140152,4.48443985,-3.324019909,29.31850052,6475.876957
SN9223,4/7/2018,P,Brussels Airlines,SN,ABJ,BRU,333 (A330-300),A333,242000,287.2857143,,,,5.261390209,-3.926290035,50.90140152,4.48443985,5134.849292
SN9237,4/7/2018,P,Brussels Airlines,SN,ACC,BRU,333 (A330-300),A333,242000,286.9583333,,,,5.6051898,-0.166786,50.90140152,4.48443985,5055.210081
SN9261,4/7/2018,P,Brussels Airlines,SN,DLA,BRU,333 (A330-300),A333,242000,286.6538462,,,,4.006080151,9.719479561,50.90140152,4.48443985,5237.382381
SN9287,4/7/2018,P,Brussels Airlines,SN,DSS,BRU,333 (A330-300),A333,242000,287.8387097,,,,14.67,-17.073333,50.90140152,4.48443985,4468.43047
SN9318,4/7/2018,P,Brussels Airlines,SN,EBB,BRU,333 (A330-300),A333,242000,286.75,,,,0.042386,32.443501,50.90140152,4.48443985,6238.978049
SN9326,4/7/2018,P,Brussels Airlines,SN,FIH,BRU,333 (A330-300),A333,242000,285.5,,,,-4.38575,15.4446,50.90140152,4.48443985,6236.123688
SN9342,4/7/2018,P,Brussels Airlines,SN,FRA,BRU,333 (A330-300),A333,242000,288,,,,50.033333,8.570556,50.90140152,4.48443985,304.8392216
SN9343,4/7/2018,P,Brussels Airlines,SN,IAD,BRU,333 (A330-300),A333,242000,288,,,,38.94449997,-77.45580292,50.90140152,4.48443985,6246.992822
SN9348,4/7/2018,P,Brussels Airlines,SN,JFK,BRU,333 (A330-300),A333,242000,287.8333333,,,,40.63980103,-73.77890015,50.90140152,4.48443985,5885.511434
SN9378,4/7/2018,P,Brussels Airlines,SN,OUA,BRU,333 (A330-300),A333,242000,288,,,,12.3532,-1.51242,50.90140152,4.48443985,4320.714713
SN9391,4/7/2018,P,Brussels Airlines,SN,ROB,BRU,333 (A330-300),A333,242000,288,,,,6.23379,-10.3623,50.90140152,4.48443985,5153.747884
SN9396,4/7/2018,P,Brussels Airlines,SN,YYZ,BRU,333 (A330-300),A333,242000,288,,,,43.67720032,-79.63059998,50.90140152,4.48443985,6044.398924
SN9411,4/7/2018,P,Brussels Airlines,SN,DSS,CKY,333 (A330-300),A333,242000,288,,,,14.67,-17.073333,9.57689,-13.612,679.8676994
SN9425,5/7/2018,P,Brussels Airlines,SN,BRU,DLA,333 (A330-300),A333,242000,286.6538462,,,,50.90140152,4.48443985,4.006080151,9.719479561,5237.382381
SN9451,5/7/2018,P,Brussels Airlines,SN,BJL,DSS,333 (A330-300),A333,242000,287.7058824,,,,13.3380003,-16.6522007,14.67,-17.073333,154.9237485
SN9468,5/7/2018,P,Brussels Airlines,SN,BRU,DSS,333 (A330-300),A333,242000,287.8387097,,,,50.90140152,4.48443985,14.67,-17.073333,4468.43047
SN9499,5/7/2018,P,Brussels Airlines,SN,CKY,DSS,333 (A330-300),A333,242000,288,,,,9.57689,-13.612,14.67,-17.073333,679.8676994
SN9513,5/7/2018,P,Brussels Airlines,SN,MIA,DUS,333 (A330-300),A333,242000,292,,,,25.79319954,-80.29060364,51.289501,6.76678,7603.568539
SN9526,5/7/2018,P,Brussels Airlines,SN,RSW,DUS,333 (A330-300),A333,242000,292,,,,26.53619957,-81.75520325,51.289501,6.76678,7640.482295
SN9539,5/7/2018,P,Brussels Airlines,SN,BRU,FIH,333 (A330-300),A333,242000,286.5714286,,,,50.90140152,4.48443985,-4.38575,15.4446,6236.123688
SN9546,5/7/2018,P,Brussels Airlines,SN,BRU,FNA,333 (A330-300),A333,242000,288,,,,50.90140152,4.48443985,8.61644,-13.1955,4974.422858
SN9551,5/7/2018,P,Brussels Airlines,SN,BRU,FRA,333 (A330-300),A333,242000,288,,,,50.90140152,4.48443985,50.033333,8.570556,304.8392216
SN9552,5/7/2018,P,Brussels Airlines,SN,BRU,IAD,333 (A330-300),A333,242000,288,,,,50.90140152,4.48443985,38.94449997,-77.45580292,6246.992822
SN9557,5/7/2018,P,Brussels Airlines,SN,BRU,JFK,333 (A330-300),A333,242000,287.8333333,,,,50.90140152,4.48443985,40.63980103,-73.77890015,5885.511434
SN9587,5/7/2018,P,Brussels Airlines,SN,BRU,KGL,333 (A330-300),A333,242000,286.3333333,,,,50.90140152,4.48443985,-1.96863,30.1395,6362.006145
SN9590,5/7/2018,P,Brussels Airlines,SN,BRU,LAD,333 (A330-300),A333,242000,284.6666667,,,,50.90140152,4.48443985,-8.85837,13.2312,6698.296972
SN9599,1/7/2018,P,Brussels Airlines,SN,BRU,AGA,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,30.32500076,-9.413069725,2561.32519
SN9603,1/7/2018,P,Brussels Airlines,SN,BRU,AGP,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,36.67490005,-4.499110222,1735.48056
SN9629,1/7/2018,P,Brussels Airlines,SN,BRU,AJA,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,41.92359924,8.802920341,1051.28013
SN9637,1/7/2018,P,Brussels Airlines,SN,BRU,ALC,319 (A319),A319,75500,141,,,,50.90140152,4.48443985,38.28219986,-0.558156013,1458.012817
